,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,GN_c,PN_c,PPN_c,PPN_sc,GN_sc,PN_sc,AVG_C,AVG_sc
0,,,,CDH1,189.0,157,122.0,2.953108,5.812744,2.8451197,156.0,3.8703239000000003
1,1.0,1.0,1.0,MTOR,329.0,120,114.0,0.075088024,0.6258949,0.08153009,187.66666666666666,0.26083767133333335
2,2.0,2.0,2.0,KMT2B,9.0,10,1.0,0.34109256,0.39247698,-0.55712706,6.666666666666667,0.05881415999999998
3,3.0,3.0,3.0,HRAS,33.0,407,408.0,0.21271522,1.1684295,2.0589063,282.6666666666667,1.1466836733333332
4,4.0,4.0,4.0,TP53,238.0,558,324.0,9.585825,9.349344,8.015185,373.3333333333333,8.983451333333335
5,5.0,5.0,5.0,PTEN,391.0,180,144.0,1.641569,6.29055,4.208932,238.33333333333334,4.047017
6,6.0,6.0,6.0,EP300,250.0,559,244.0,2.191133,1.2288129,2.6781533,351.0,2.032699733333333
7,7.0,7.0,7.0,KMT2D,297.0,126,52.0,4.365189,2.700168,3.4786587,158.33333333333334,3.5146719
8,8.0,8.0,8.0,CREBBP,378.0,411,209.0,0.18622756,0.338473,2.2330608,332.6666666666667,0.9192537866666667
9,9.0,9.0,9.0,JUN,35.0,315,246.0,0.32614014,-0.27502534,0.4361487,198.66666666666666,0.16242116666666667
10,10.0,10.0,10.0,CDKN1A,179.0,184,167.0,-0.62739074,1.2005314,0.43178368,176.66666666666666,0.33497478
11,11.0,11.0,11.0,NCOR1,333.0,202,91.0,0.3148563,-0.07737726,0.71778214,208.66666666666666,0.31842039333333333
12,12.0,12.0,12.0,JAK1,159.0,237,208.0,-0.26360816,0.39705867,0.8372339,201.33333333333334,0.32356147
13,13.0,13.0,13.0,KDM6A,343.0,69,39.0,0.5321005,0.56889564,0.73863983,150.33333333333334,0.6132119899999999
14,14.0,14.0,14.0,FGFR3,30.0,63,137.0,0.8046816,1.5207999,0.5922351,76.66666666666667,0.9725722
15,15.0,15.0,15.0,KRAS,135.0,327,374.0,2.2976968,1.742935,4.7233467,278.6666666666667,2.921326166666667
16,16.0,16.0,16.0,BRAF,226.0,128,82.0,4.33392,12.658229,2.1138215,145.33333333333334,6.3686568333333335
17,17.0,17.0,17.0,AKT1,155.0,365,365.0,0.9529004,2.035658,1.0053169,295.0,1.3312917666666666
18,18.0,18.0,18.0,PIK3R1,82.0,559,407.0,0.73244,-0.19224039,1.829344,349.3333333333333,0.78984787
19,19.0,19.0,19.0,NOTCH1,101.0,159,99.0,1.1573919,1.5637548,2.0947423,119.66666666666667,1.6052963333333334
20,20.0,20.0,20.0,STAG2,362.0,150,32.0,0.62037385,0.6799115,1.108352,181.33333333333334,0.8028791166666668
21,21.0,21.0,21.0,RHOA,746.0,456,320.0,-0.76660866,-0.25048417,-0.65937823,507.3333333333333,-0.5588236866666667
22,22.0,22.0,22.0,CHD4,227.0,98,19.0,0.20072325,-0.068669945,0.6206479,114.66666666666667,0.25090040166666666
23,23.0,23.0,23.0,HIF1A,375.0,142,202.0,-0.14020075,0.034976304,0.47043896,239.66666666666666,0.12173817133333333
24,24.0,24.0,24.0,KMT2C,455.0,98,45.0,0.87055874,0.06467825,4.271826,199.33333333333334,1.7356876633333334
25,25.0,25.0,25.0,RB1,178.0,145,109.0,-0.28185263,-0.019100726,0.31455225,144.0,0.004532964666666657
26,26.0,26.0,26.0,VHL,97.0,365,69.0,0.17456757,2.5606897,1.7135178,177.0,1.4829250233333333
27,27.0,27.0,27.0,CTNNB1,382.0,400,402.0,0.6766116,0.16939199,2.2321887,394.6666666666667,1.0260640966666668
28,28.0,28.0,28.0,SPOP,163.0,42,47.0,0.0340614,3.9082851,1.2514119,84.0,1.7312528
29,29.0,29.0,29.0,FBXW7,267.0,319,151.0,0.2817211,1.6273718,0.8608181,245.66666666666666,0.9233036666666666
30,30.0,30.0,30.0,CCND1,81.0,218,172.0,-0.53564024,-0.2494322,0.291223,157.0,-0.16461647999999998
31,31.0,31.0,31.0,PIK3CA,119.0,494,421.0,10.673174,7.1130586,11.891889,344.6666666666667,9.892707199999998
32,32.0,32.0,32.0,ATM,212.0,241,92.0,0.96511143,0.9866059,1.833984,181.66666666666666,1.2619004433333334
33,33.0,33.0,33.0,MAP2K4,212.0,84,95.0,-0.7962747,0.45952946,-0.13135825,130.33333333333334,-0.15603449666666666
34,34.0,34.0,34.0,HLA-A,739.0,174,59.0,-0.36461958,0.3157083,-0.18508989,324.0,-0.07800039
35,35.0,35.0,35.0,HSPA8,102.0,39,7.0,-0.9059418,1.2202926,-0.05538395,49.333333333333336,0.08632228333333335
36,36.0,36.0,36.0,MUC16,1047.0,63,37.0,-1.0959255,3.0167153,0.74361277,382.3333333333333,0.88813419
37,37.0,37.0,37.0,IQGAP1,36.0,26,12.0,-0.3818949,-0.18912977,-1.0622232,24.666666666666668,-0.5444159566666666
38,38.0,38.0,38.0,SMARCA4,415.0,98,9.0,0.44063312,0.80961794,-0.91572773,174.0,0.11150777666666671
39,39.0,39.0,39.0,AKAP9,206.0,225,16.0,-0.3457707,0.15787995,-0.8840114,149.0,-0.3573007166666667
40,40.0,40.0,40.0,ITGA2B,2.0,29,10.0,-0.43709964,-0.27052748,-2.5367668,13.666666666666666,-1.08146464
41,41.0,41.0,41.0,SYNE1,7.0,7,,-0.6089629,-0.21500063,,7.0,-0.411981765
42,42.0,42.0,42.0,TNRC6A,59.0,37,,0.44004583,0.34762457,,48.0,0.39383520000000005
43,43.0,43.0,43.0,ARID1A,473.0,78,,2.053386,4.815192,,275.5,3.4342889999999997
44,44.0,44.0,44.0,ERCC2,132.0,206,68.0,-0.85979074,-0.023946345,-0.53924024,135.33333333333334,-0.47432577500000006
45,45.0,45.0,45.0,VWF,1.0,29,2.0,-0.3355342,0.33821476,-0.9150074,10.666666666666666,-0.30410894666666666
46,46.0,46.0,46.0,FN1,7.0,51,9.0,-0.5442528,-0.07261485,-0.4961296,22.333333333333332,-0.37099908333333337
47,47.0,47.0,47.0,TNRC6B,32.0,31,,0.3844619,-0.12523341,,31.5,0.12961424500000002
48,48.0,48.0,48.0,POLE,230.0,169,23.0,-0.39201096,-0.21981245,-1.0033085,140.66666666666666,-0.5383773033333333
49,49.0,49.0,49.0,SYK,40.0,190,132.0,-0.3199091,-1.1912764,-0.4319624,120.66666666666667,-0.6477159666666666
50,50.0,50.0,50.0,TLR4,6.0,90,70.0,-0.401911,-2.484389,-0.040768795,55.333333333333336,-0.9756895983333335
51,51.0,51.0,51.0,NCOA3,352.0,179,102.0,0.043520205,-1.0068494,-0.26777932,211.0,-0.41036950499999997
52,52.0,52.0,52.0,SOS1,14.0,75,48.0,-0.0394628,-0.8150692,0.34860438,45.666666666666664,-0.16864254
53,53.0,53.0,53.0,KDR,38.0,113,144.0,0.42642477,-1.0621974,0.6422617,98.33333333333333,0.0021630233333333284
54,54.0,54.0,54.0,MED1,13.0,27,15.0,-0.49079925,-0.52065957,-0.095601566,18.333333333333332,-0.3690201286666667
55,55.0,55.0,55.0,APC,149.0,132,92.0,4.2810493,-0.6207241,3.8116944,124.33333333333333,2.4906732000000003
56,56.0,56.0,56.0,SMAD4,166.0,218,124.0,2.0574095,-0.3145547,1.3829349,169.33333333333334,1.0419299
57,57.0,57.0,57.0,TGFBR2,91.0,88,57.0,0.40404007,-0.8223629,0.33569717,78.66666666666667,-0.02754188666666668
58,58.0,58.0,58.0,IGF1R,1209.0,76,150.0,-0.7769843,-1.3320707,0.78075427,478.3333333333333,-0.44276691
59,59.0,59.0,59.0,FYN,19.0,66,44.0,-0.3279345,-0.5628459,-0.17103936,43.0,-0.35393992
60,60.0,60.0,60.0,ATR,220.0,178,95.0,0.37122303,-0.92104536,0.48038983,164.33333333333334,-0.02314416666666667
61,61.0,61.0,61.0,GATA3,70.0,86,40.0,2.0733175,-1.3014162,1.6710482,65.33333333333333,0.8143165
62,62.0,62.0,62.0,PLCG2,10.0,30,47.0,-0.5122295,-0.31799477,-0.8978615,29.0,-0.57602859
63,63.0,63.0,63.0,CASP8,126.0,136,84.0,-0.09017021,-1.17177,0.98278534,115.33333333333333,-0.09305162333333332
64,64.0,64.0,64.0,AR,50.0,142,110.0,-0.32879528,-1.6786382,0.7911266,100.66666666666667,-0.4054356266666666
65,65.0,65.0,65.0,FGFR2,82.0,82,138.0,-0.26653597,-1.0231411,-0.013841385,100.66666666666667,-0.4345061516666667
66,66.0,66.0,66.0,BRCA1,165.0,277,77.0,-0.10173182,-1.2638943,0.29383332,173.0,-0.3572642666666666
67,67.0,67.0,67.0,MAP3K1,75.0,116,98.0,2.2999632,-1.8558083,4.088782,96.33333333333333,1.5109789666666666
68,68.0,68.0,68.0,STAT3,275.0,333,246.0,0.37767038,-1.3651866,0.34570232,284.6666666666667,-0.21393796666666662
69,69.0,69.0,69.0,MAPK1,259.0,486,475.0,-0.040000398,-2.1852446,0.6496745,406.6666666666667,-0.5251901659999999
70,70.0,70.0,70.0,PRKCA,105.0,30,47.0,-0.44437632,-2.5286014,0.17849615,60.666666666666664,-0.9314938566666666
71,71.0,71.0,71.0,HGF,,185,118.0,0.22031738,,-0.284756,151.5,-0.03221931
72,72.0,72.0,72.0,RUNX1,383.0,181,46.0,0.1542945,-1.8458911,0.10873066,203.33333333333334,-0.52762198
73,73.0,73.0,73.0,PLCG1,137.0,286,292.0,-0.7496995,-0.7708963,-0.6727569,238.33333333333334,-0.7311175666666667
74,74.0,74.0,74.0,KAT2B,6.0,51,10.0,-0.4239444,-0.96959066,-0.52169496,22.333333333333332,-0.6384100066666667
75,75.0,75.0,75.0,NRAS,190.0,370,361.0,0.32333922,-1.5976913,2.5267646,307.0,0.41747084
76,76.0,76.0,76.0,EGFR,514.0,347,342.0,0.0053767306,-1.6768334,0.7759502,401.0,-0.2985021564666666
77,77.0,77.0,77.0,KMT2A,199.0,71,16.0,1.056489,-0.45300388,0.5539018,95.33333333333333,0.38579564
78,78.0,78.0,78.0,NCOR2,645.0,155,64.0,-0.008066416,-1.2082871,0.74072635,288.0,-0.15854238866666662
79,79.0,79.0,79.0,SRC,100.0,431,370.0,-0.53559434,-2.561039,-0.44916338,300.3333333333333,-1.1819322399999999
80,80.0,80.0,80.0,NOTCH2,755.0,73,57.0,0.118944235,-0.53343236,0.3095286,295.0,-0.034986508333333353
81,81.0,81.0,81.0,PRKDC,70.0,16,2.0,0.0896352,-0.81937075,-0.27501905,29.333333333333332,-0.3349182
82,82.0,82.0,82.0,ESR1,19.0,248,150.0,0.24374287,-1.3462522,0.21801949,139.0,-0.2948299466666667
83,83.0,83.0,83.0,ERBB2,115.0,124,193.0,0.34208632,-1.3084555,1.628527,144.0,0.22071927333333333
